osmId,typeOfBuilding,geometry,lat,long,name,operator,brand,openingHours
3596958035,post_office,0101000020E6100000162642D94A422140B171FDBB3EC94A40,53.572227,8.6294773,Hermes PaketShop,Hermes,unknown,Mo-Fr 09:00-12:30
3600787898,post_office,0101000020E6100000788B76CBC47725407D1D82F45E324A40,52.3935228,10.7339233,Kiosk Mörse,unknown,unknown,Mo-Fr 07:30-12:30
3617686168,post_office,0101000020E6100000AD495C6CFFEB2540FF8980F91A784A40,52.9383232,10.9609331,unknown,Vereinigte Saatzuchten eG,DHL,unknown
3618236002,post_office,0101000020E6100000D6EA066575961C40F31A608B82DA4A40,53.7071089,7.1469322,unknown,Deutsche Post,unknown,unknown
3621259123,post_office,0101000020E6100000C600E4DFC2ED1D4016681C8FBEBB4A40,53.4667529,7.4821887,unknown,Deutsche Post,unknown,unknown
3624027909,post_office,0101000020E6100000E9EAD85251FE2340B66565A0D78A4A40,53.0847054,9.9967142,Böhme Briefdienst,unknown,unknown,unknown
3633628543,post_office,0101000020E61000003DB4345C8975234028710CB732C14A40,53.5093602,9.7295636,unknown,unknown,DHL,unknown
3634010035,post_office,0101000020E6100000160F39C7CAFD2340965929A9B88A4A40,53.0837604,9.9956877,Post,unknown,unknown,Mo-Fr 09:00-18:00; Sa 09:00-12:00
3644583333,post_office,0101000020E6100000F252A005573B254079AE940ACFCA4940,51.5844434,10.6158983,Walkenrieder Foto- und Druckwerkstatt,unknown,unknown,unknown
3650159026,post_office,0101000020E6100000FCF8951815AA23406C031CE7DB324A40,52.3973359,9.8321922,unknown,Deutsche Post,unknown,unknown
3673728684,post_office,0101000020E6100000CF53782BA6992140AB6E3F2A0F894A40,53.0707753,8.8000959,unknown,unknown,unknown,unknown
3680212047,post_office,0101000020E6100000C219FCFD62CE2040B47E8EEACFA64A40,53.3032201,8.403099,Deutsche Post,unknown,unknown,unknown
3683131047,post_office,0101000020E610000059767753809624407AA63C5F58AF4A40,53.3698844,10.2939478,unknown,unknown,DHL,unknown
3683686930,warehouse,0101000020E6100000A0C0E03F82672440D116218667224A40,52.2687843,10.2021656,unknown,unknown,unknown,unknown
3698950659,post_office,0101000020E6100000A1C783882FD61E405C11EB43CD884A40,53.0687642,7.7091657,Postfiliale,Raiffeisen Ammerland-Saterland GmbH,unknown,Mo-Fr 08:00-18:00; Sa 08:00-13:00
