ID	Name	Venue	Category	Start Time	No Participants	Reoccurring	Most Popular Entity	Entity Popularity	Additional Information
280	Tricky Niki: Hypochondria – Alles wird (wieder) gut	Theater am Aegi	comedy	2017-11-15 20:00:00.000000		false	Tricky Niki	580000	http://www.neuepresse.de/Nachrichten/Kultur/Tricky-Niki-versucht-den-Partnertausch
282	Wer der Herde folgt, sieht nur Ärsche	Theater am Aegi	other	2017-11-12 20:00:00.000000	350	false	Hannes Jaenicke	294000	http://www.haz.de/Nachrichten/Kultur/Uebersicht/Hannes-Jaenicke-erklaert-die-Welt
285	André Rieu und sein Johann Straussorchester	TUI Arena	concert	2018-11-01 20:00:00.000000	5000	false	André Rieu	492000	http://www.haz.de/Nachrichten/Kultur/Uebersicht/Andre-Rieu-gibt-Konzert-in-Tui-Arena-in-Hannover
286	Apassionata: Gefährten des Lichts	TUI Arena	other	2018-01-20 15:00:00.000000		false	Appasionata	730000	http://www.haz.de/Hannover/Aus-der-Stadt/Uebersicht/Die-Pferdeshow-Apassionata-begeistert-in-der-TUI-Arena-vor-allem-pferdebegeisterte-Maedchen-und-ihre-Eltern
287	Bibi & Tina	TUI Arena	show	2017-12-29 17:00:00.000000		false	bibi & Tina	508000	http://www.haz.de/Nachrichten/Kultur/Uebersicht/Bibi-Tina-verzaubern-ihre-Fans-in-der-Tui-Arena-Hannover
291	Die Toten Hosen	TUI Arena	concert	2017-11-21 20:00:00.000000	11000	false	die toten hosen	57200	http://www.haz.de/Nachrichten/Kultur/Uebersicht/So-waren-die-Toten-Hosen-in-der-Tui-Arena-in-Hannover
293	Drei Haselnüsse für Aschenbrödel	TUI Arena	show	2018-07-01 15:30:00.000000		false	-		
294	Drei Haselnüsse für Aschenbrödel	TUI Arena	show	2018-08-01 15:30:00.000000		false	-		
295	Feuerwerk der Turnkunst: Aura	TUI Arena	show	2017-12-31 17:00:00.000000	10000	false	Feuerwerk der Turnkunst	97800	http://www.haz.de/Sportbuzzer/Uebersicht/Topturner-begeistern-Hannover-Publikum
296	Feuerwerk der Turnkunst: Aura	TUI Arena	show	2018-06-01 14:00:00.000000	10000	false	Feuerwerk der Turnkunst	97800	http://www.haz.de/Sportbuzzer/Uebersicht/Topturner-begeistern-Hannover-Publikum
297	Helene Fischer	TUI Arena	concert	2017-12-09 20:00:00.000000	10000	false	Helene Fischer	11900000	http://www.haz.de/Hannover/Aus-der-Stadt/Uebersicht/So-startet-Helene-Fischer-ihre-Konzert-Reihe-in-Hannover
302	Holiday on Ice: Atlantis	TUI Arena	show	2017-12-14 19:00:00.000000		false	Holiday on Ice	107000000	http://www.haz.de/Hannover/Aus-der-Stadt/Uebersicht/Holiday-on-Ice-Atlantis-Hannover-Tui-Arena
303	Holiday on Ice: Atlantis	TUI Arena	show	2017-12-15 19:00:00.000000		false	Holiday on Ice	107000000	http://www.haz.de/Hannover/Aus-der-Stadt/Uebersicht/Holiday-on-Ice-Atlantis-Hannover-Tui-Arena
304	Holiday on Ice: Atlantis	TUI Arena	show	2017-12-16 16:30:00.000000		false	Holiday on Ice	107000000	http://www.haz.de/Hannover/Aus-der-Stadt/Uebersicht/Holiday-on-Ice-Atlantis-Hannover-Tui-Arena
305	Holiday on Ice: Atlantis	TUI Arena	show	2017-12-17 13:00:00.000000		false	Holiday on Ice	107000000	http://www.haz.de/Hannover/Aus-der-Stadt/Uebersicht/Holiday-on-Ice-Atlantis-Hannover-Tui-Arena
306	James Blunt	TUI Arena	concert	2017-10-21 20:00:00.000000	7500	false	James Blunt	63200000	http://www.haz.de/Nachrichten/Kultur/Uebersicht/So-war-das-Konzert-von-James-Blunt-in-der-Tui-Arena
308	Night of Freestyle	TUI Arena	show	2018-01-13 19:00:00.000000		false	Night of Freestyle	9610000	
311	TSV Hannover-Burgdorf vs. Füchse Berlin	TUI Arena	other	2017-10-15 19:00:00.000000	5600	true	Füchse Berlin	688000	https://www.ndr.de/sport/handball/Recken-schlagen-Tabellenfuehrer-Berlin-,hannover12712.html
312	TSV Hannover-Burgdorf vs. THW Kiel	TUI Arena	other	2017-10-18 19:00:00.000000	9000	true	THW Kiel	708000	https://www.shz.de/sport/handball/thw_kiel/aus-im-dhb-pokal-thw-kiel-verliert-gegen-tsv-hannover-burgdorf-24-22-id18103816.html http://www.haz.de/Sportbuzzer/TSV-Hannover-Burgdorf/DHB-Pokal-TSV-Hannover-Burgdorf-gegen-THW-Kiel
314	Westernhagen – MTV Unplugged Tour	TUI Arena	concert	2017-10-20 20:00:00.000000	10000	false	Marius Westernhagen	353000	http://www.haz.de/Nachrichten/Kultur/Uebersicht/Marius-Mueller-Westernhagen-spielt-unplugged-vor-10.000-Zuschauern-in-der-Tui-Arena
